TimeStamp,Unit,,,TimeStamp,,Values
16:11:35.841 -> 89.9,kPa,,,11:35.8,->,89.9
16:11:35.935 -> 89.9,kPa,,,11:35.9,->,89.9
16:11:36.029 -> 89.9,kPa,,,11:36.0,->,89.9
16:11:36.124 -> 86.0,kPa,,,11:36.1,->,86
16:11:36.204 -> 82.1,kPa,,,11:36.2,->,82.1
16:11:36.345 -> 78.2,kPa,,,11:36.3,->,78.2
16:11:36.439 -> 74.3,kPa,,,11:36.4,->,74.3
16:11:36.532 -> 76.2,kPa,,,11:36.5,->,76.2
16:11:36.626 -> 84.0,kPa,,,11:36.6,->,84
16:11:36.720 -> 87.9,kPa,,,11:36.7,->,87.9
16:11:36.817 -> 91.8,kPa,,,11:36.8,->,91.8
16:11:36.958 -> 87.9,kPa,,,11:37.0,->,87.9
16:11:37.009 -> 86.0,kPa,,,11:37.0,->,86
16:11:37.149 -> 87.9,kPa,,,11:37.1,->,87.9
16:11:37.244 -> 91.8,kPa,,,11:37.2,->,91.8
16:11:37.338 -> 93.8,kPa,,,11:37.3,->,93.8
16:11:37.432 -> 93.8,kPa,,,11:37.4,->,93.8
16:11:37.526 -> 93.8,kPa,,,11:37.5,->,93.8
16:11:37.620 -> 93.8,kPa,,,11:37.6,->,93.8
16:11:37.761 -> 95.7,kPa,,,11:37.8,->,95.7
16:11:37.856 -> 95.7,kPa,,,11:37.9,->,95.7
16:11:37.949 -> 95.7,kPa,,,11:37.9,->,95.7
16:11:38.043 -> 93.8,kPa,,,11:38.0,->,93.8
16:11:38.152 -> 93.8,kPa,,,11:38.2,->,93.8
16:11:38.246 -> 97.7,kPa,,,11:38.2,->,97.7
16:11:38.340 -> 97.7,kPa,,,11:38.3,->,97.7
16:11:38.433 -> 97.7,kPa,,,11:38.4,->,97.7
16:11:38.528 -> 97.7,kPa,,,11:38.5,->,97.7
16:11:38.668 -> 97.7,kPa,,,11:38.7,->,97.7
16:11:38.762 -> 95.7,kPa,,,11:38.8,->,95.7
16:11:38.856 -> 95.7,kPa,,,11:38.9,->,95.7
16:11:38.950 -> 97.7,kPa,,,11:39.0,->,97.7
16:11:39.043 -> 95.7,kPa,,,11:39.0,->,95.7
16:11:39.138 -> 95.7,kPa,,,11:39.1,->,95.7
16:11:39.232 -> 95.7,kPa,,,11:39.2,->,95.7
16:11:39.372 -> 95.7,kPa,,,11:39.4,->,95.7
16:11:39.466 -> 93.8,kPa,,,11:39.5,->,93.8
16:11:39.560 -> 93.8,kPa,,,11:39.6,->,93.8
16:11:39.655 -> 91.8,kPa,,,11:39.7,->,91.8
16:11:39.750 -> 93.8,kPa,,,11:39.8,->,93.8
16:11:39.845 -> 93.8,kPa,,,11:39.8,->,93.8
16:11:39.939 -> 93.8,kPa,,,11:39.9,->,93.8
16:11:40.033 -> 93.8,kPa,,,11:40.0,->,93.8
16:11:40.175 -> 95.7,kPa,,,11:40.2,->,95.7
16:11:40.269 -> 91.8,kPa,,,11:40.3,->,91.8
16:11:40.363 -> 89.9,kPa,,,11:40.4,->,89.9
16:11:40.457 -> 89.9,kPa,,,11:40.5,->,89.9
16:11:40.567 -> 91.8,kPa,,,11:40.6,->,91.8
16:11:40.662 -> 93.8,kPa,,,11:40.7,->,93.8
