TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:46.454 -> The value of current in ma : 7925.86,,,,19:46.5,->,current ,ma,7925.86
14:19:46.598 -> The value of current in ma : 7971.94,,,,19:46.6,->,current ,ma,7971.94
14:19:46.693 -> The value of current in ma : 7971.94,,,,19:46.7,->,current ,ma,7971.94
14:19:46.835 -> The value of current in ma : 7925.86,,,,19:46.8,->,current ,ma,7925.86
14:19:46.930 -> The value of current in ma : 7948.90,,,,19:46.9,->,current ,ma,7948.9
14:19:47.072 -> The value of current in ma : 7925.86,,,,19:47.1,->,current ,ma,7925.86
14:19:47.167 -> The value of current in ma : 7948.90,,,,19:47.2,->,current ,ma,7948.9
14:19:47.310 -> The value of current in ma : 8018.02,,,,19:47.3,->,current ,ma,8018.02
14:19:47.405 -> The value of current in ma : 7902.82,,,,19:47.4,->,current ,ma,7902.82
14:19:47.548 -> The value of current in ma : 7925.86,,,,19:47.5,->,current ,ma,7925.86
14:19:47.689 -> The value of current in ma : 7948.90,,,,19:47.7,->,current ,ma,7948.9
14:19:47.784 -> The value of current in ma : 7948.90,,,,19:47.8,->,current ,ma,7948.9
14:19:47.926 -> The value of current in ma : 7948.90,,,,19:47.9,->,current ,ma,7948.9
14:19:48.020 -> The value of current in ma : 7971.94,,,,19:48.0,->,current ,ma,7971.94
14:19:48.163 -> The value of current in ma : 7994.98,,,,19:48.2,->,current ,ma,7994.98
14:19:48.258 -> The value of current in ma : 7971.94,,,,19:48.3,->,current ,ma,7971.94
14:19:48.400 -> The value of current in ma : 7971.94,,,,19:48.4,->,current ,ma,7971.94
14:19:48.495 -> The value of current in ma : 7994.98,,,,19:48.5,->,current ,ma,7994.98
14:19:48.638 -> The value of current in ma : 7971.94,,,,19:48.6,->,current ,ma,7971.94
14:19:48.780 -> The value of current in ma : 7902.82,,,,19:48.8,->,current ,ma,7902.82
14:19:48.875 -> The value of current in ma : 7971.94,,,,19:48.9,->,current ,ma,7971.94
14:19:49.017 -> The value of current in ma : 7925.86,,,,19:49.0,->,current ,ma,7925.86
14:19:49.112 -> The value of current in ma : 7925.86,,,,19:49.1,->,current ,ma,7925.86
14:19:49.253 -> The value of current in ma : 7994.98,,,,19:49.3,->,current ,ma,7994.98
14:19:49.348 -> The value of current in ma : 7925.86,,,,19:49.3,->,current ,ma,7925.86
14:19:49.492 -> The value of current in ma : 7925.86,,,,19:49.5,->,current ,ma,7925.86
14:19:49.587 -> The value of current in ma : 7994.98,,,,19:49.6,->,current ,ma,7994.98
14:19:49.730 -> The value of current in ma : 7948.90,,,,19:49.7,->,current ,ma,7948.9
14:19:49.871 -> The value of current in ma : 7948.90,,,,19:49.9,->,current ,ma,7948.9
14:19:49.965 -> The value of current in ma : 7925.86,,,,19:50.0,->,current ,ma,7925.86
14:19:50.108 -> The value of current in ma : 7994.98,,,,19:50.1,->,current ,ma,7994.98
14:19:50.204 -> The value of current in ma : 7948.90,,,,19:50.2,->,current ,ma,7948.9
14:19:50.346 -> The value of current in ma : 7925.86,,,,19:50.3,->,current ,ma,7925.86
