TimeStamp,,,,TimeStamp,,Specification,Unit,Value
17:19:42.505 -> The value of current in ma : 8709.23,,,,19:42.5,->,current,ma,8709.23
17:19:42.599 -> The value of current in ma : 8709.23,,,,19:42.6,->,current,ma,8709.23
17:19:42.740 -> The value of current in ma : 8709.23,,,,19:42.7,->,current,ma,8709.23
17:19:42.851 -> The value of current in ma : 8709.23,,,,19:42.9,->,current,ma,8709.23
17:19:42.991 -> The value of current in ma : 8709.23,,,,19:43.0,->,current,ma,8709.23
17:19:43.132 -> The value of current in ma : 8686.19,,,,19:43.1,->,current,ma,8686.19
17:19:43.226 -> The value of current in ma : 8686.19,,,,19:43.2,->,current,ma,8686.19
17:19:43.366 -> The value of current in ma : 8732.27,,,,19:43.4,->,current,ma,8732.27
17:19:43.461 -> The value of current in ma : 8663.15,,,,19:43.5,->,current,ma,8663.15
17:19:43.604 -> The value of current in ma : 8686.19,,,,19:43.6,->,current,ma,8686.19
17:19:43.700 -> The value of current in ma : 8709.23,,,,19:43.7,->,current,ma,8709.23
17:19:43.842 -> The value of current in ma : 8594.03,,,,19:43.8,->,current,ma,8594.03
17:19:43.985 -> The value of current in ma : 8640.11,,,,19:44.0,->,current,ma,8640.11
17:19:44.081 -> The value of current in ma : 8663.15,,,,19:44.1,->,current,ma,8663.15
17:19:44.207 -> The value of current in ma : 8640.11,,,,19:44.2,->,current,ma,8640.11
17:19:44.313 -> The value of current in ma : 8709.23,,,,19:44.3,->,current,ma,8709.23
17:19:44.447 -> The value of current in ma : 8640.11,,,,19:44.4,->,current,ma,8640.11
17:19:44.589 -> The value of current in ma : 8755.31,,,,19:44.6,->,current,ma,8755.31
17:19:44.684 -> The value of current in ma : 8663.15,,,,19:44.7,->,current,ma,8663.15
17:19:44.826 -> The value of current in ma : 8686.19,,,,19:44.8,->,current,ma,8686.19
17:19:44.937 -> The value of current in ma : 8709.23,,,,19:44.9,->,current,ma,8709.23
17:19:45.032 -> The value of current in ma : 8709.23,,,,19:45.0,->,current,ma,8709.23
17:19:45.175 -> The value of current in ma : 8663.15,,,,19:45.2,->,current,ma,8663.15
17:19:45.317 -> The value of current in ma : 8686.19,,,,19:45.3,->,current,ma,8686.19
17:19:45.411 -> The value of current in ma : 8709.23,,,,19:45.4,->,current,ma,8709.23
17:19:45.538 -> The value of current in ma : 8732.27,,,,19:45.5,->,current,ma,8732.27
17:19:45.666 -> The value of current in ma : 8686.19,,,,19:45.7,->,current,ma,8686.19
17:19:45.760 -> The value of current in ma : 8663.15,,,,19:45.8,->,current,ma,8663.15
17:19:45.903 -> The value of current in ma : 8663.15,,,,19:45.9,->,current,ma,8663.15
17:19:46.040 -> The value of current in ma : 8732.27,,,,19:46.0,->,current,ma,8732.27
17:19:46.125 -> The value of current in ma : 8663.15,,,,19:46.1,->,current,ma,8663.15
17:19:46.267 -> The value of current in ma : 8709.23,,,,19:46.3,->,current,ma,8709.23
17:19:46.365 -> The value of current in ma : 8709.23,,,,19:46.4,->,current,ma,8709.23
17:19:46.490 -> The value of current in ma : 8778.35,,,,19:46.5,->,current,ma,8778.35
17:19:46.633 -> The value of current in ma : 8663.15,,,,19:46.6,->,current,ma,8663.15
17:19:46.727 -> The value of current in ma : 8686.19,,,,19:46.7,->,current,ma,8686.19
17:19:46.887 -> The value of current in ma : 8709.23,,,,19:46.9,->,current,ma,8709.23
17:19:46.981 -> The value of current in ma : 8709.23,,,,19:47.0,->,current,ma,8709.23
17:19:47.124 -> The value of current in ma : 8617.07,,,,19:47.1,->,current,ma,8617.07
17:19:47.250 -> The value of current in ma : 8640.11,,,,19:47.3,->,current,ma,8640.11
17:19:47.345 -> The value of current in ma : 8709.23,,,,19:47.3,->,current,ma,8709.23
17:19:47.500 -> The value of current in ma : 8709.23,,,,19:47.5,->,current,ma,8709.23
17:19:47.584 -> The value of current in ma : 8663.15,,,,19:47.6,->,current,ma,8663.15
17:19:47.725 -> The value of current in ma : 8686.19,,,,19:47.7,->,current,ma,8686.19
17:19:47.820 -> The value of current in ma : 8663.15,,,,19:47.8,->,current,ma,8663.15
17:19:47.948 -> The value of current in ma : 8686.19,,,,19:47.9,->,current,ma,8686.19
17:19:48.090 -> The value of current in ma : 8686.19,,,,19:48.1,->,current,ma,8686.19
17:19:48.183 -> The value of current in ma : 8663.15,,,,19:48.2,->,current,ma,8663.15
17:19:48.324 -> The value of current in ma : 8686.19,,,,19:48.3,->,current,ma,8686.19
17:19:48.466 -> The value of current in ma : 8732.27,,,,19:48.5,->,current,ma,8732.27
17:19:48.561 -> The value of current in ma : 8640.11,,,,19:48.6,->,current,ma,8640.11
17:19:48.704 -> The value of current in ma : 8686.19,,,,19:48.7,->,current,ma,8686.19
17:19:48.799 -> The value of current in ma : 8663.15,,,,19:48.8,->,current,ma,8663.15
17:19:48.939 -> The value of current in ma : 8709.23,,,,19:48.9,->,current,ma,8709.23
17:19:49.033 -> The value of current in ma : 8663.15,,,,19:49.0,->,current,ma,8663.15
17:19:49.173 -> The value of current in ma : 8686.19,,,,19:49.2,->,current,ma,8686.19
17:19:49.314 -> The value of current in ma : 8686.19,,,,19:49.3,->,current,ma,8686.19
17:19:49.409 -> The value of current in ma : 8663.15,,,,19:49.4,->,current,ma,8663.15
17:19:49.551 -> The value of current in ma : 8663.15,,,,19:49.6,->,current,ma,8663.15
17:19:49.644 -> The value of current in ma : 8686.19,,,,19:49.6,->,current,ma,8686.19
17:19:49.801 -> The value of current in ma : 8663.15,,,,19:49.8,->,current,ma,8663.15
17:19:49.894 -> The value of current in ma : 8617.07,,,,19:49.9,->,current,ma,8617.07
17:19:50.035 -> The value of current in ma : 8709.23,,,,19:50.0,->,current,ma,8709.23
17:19:50.130 -> The value of current in ma : 8663.15,,,,19:50.1,->,current,ma,8663.15
17:19:50.273 -> The value of current in ma : 8709.23,,,,19:50.3,->,current,ma,8709.23
17:19:50.366 -> The value of current in ma : 8640.11,,,,19:50.4,->,current,ma,8640.11
17:19:50.524 -> The value of current in ma : 8732.27,,,,19:50.5,->,current,ma,8732.27
17:19:50.604 -> The value of current in ma : 8640.11,,,,19:50.6,->,current,ma,8640.11
17:19:50.745 -> The value of current in ma : 8709.23,,,,19:50.7,->,current,ma,8709.23
17:19:50.886 -> The value of current in ma : 8663.15,,,,19:50.9,->,current,ma,8663.15
17:19:50.980 -> The value of current in ma : 8663.15,,,,19:51.0,->,current,ma,8663.15
17:19:51.121 -> The value of current in ma : 8709.23,,,,19:51.1,->,current,ma,8709.23
17:19:51.215 -> The value of current in ma : 8617.07,,,,19:51.2,->,current,ma,8617.07
17:19:51.340 -> The value of current in ma : 8663.15,,,,19:51.3,->,current,ma,8663.15
17:19:51.482 -> The value of current in ma : 8640.11,,,,19:51.5,->,current,ma,8640.11
17:19:51.576 -> The value of current in ma : 8709.23,,,,19:51.6,->,current,ma,8709.23
17:19:51.718 -> The value of current in ma : 8709.23,,,,19:51.7,->,current,ma,8709.23
17:19:51.859 -> The value of current in ma : 8709.23,,,,19:51.9,->,current,ma,8709.23
17:19:51.953 -> The value of current in ma : 8663.15,,,,19:52.0,->,current,ma,8663.15
17:19:52.094 -> The value of current in ma : 8663.15,,,,19:52.1,->,current,ma,8663.15
17:19:52.188 -> The value of current in ma : 8732.27,,,,19:52.2,->,current,ma,8732.27
17:19:52.313 -> The value of current in ma : 8663.15,,,,19:52.3,->,current,ma,8663.15
17:19:52.453 -> The value of current in ma : 8686.19,,,,19:52.5,->,current,ma,8686.19
17:19:52.547 -> The value of current in ma : 8663.15,,,,19:52.5,->,current,ma,8663.15
17:19:52.688 -> The value of current in ma : 8663.15,,,,19:52.7,->,current,ma,8663.15
17:19:52.798 -> The value of current in ma : 8686.19,,,,19:52.8,->,current,ma,8686.19
17:19:52.939 -> The value of current in ma : 8709.23,,,,19:52.9,->,current,ma,8709.23
17:19:53.032 -> The value of current in ma : 8617.07,,,,19:53.0,->,current,ma,8617.07
17:19:53.173 -> The value of current in ma : 8663.15,,,,19:53.2,->,current,ma,8663.15
17:19:53.267 -> The value of current in ma : 8686.19,,,,19:53.3,->,current,ma,8686.19
17:19:53.410 -> The value of current in ma : 8663.15,,,,19:53.4,->,current,ma,8663.15
17:19:53.549 -> The value of current in ma : 8640.11,,,,19:53.5,->,current,ma,8640.11
17:19:53.659 -> The value of current in ma : 8617.07,,,,19:53.7,->,current,ma,8617.07
17:19:53.801 -> The value of current in ma : 8663.15,,,,19:53.8,->,current,ma,8663.15
17:19:53.897 -> The value of current in ma : 8640.11,,,,19:53.9,->,current,ma,8640.11
17:19:54.040 -> The value of current in ma : 8686.19,,,,19:54.0,->,current,ma,8686.19
17:19:54.135 -> The value of current in ma : 8640.11,,,,19:54.1,->,current,ma,8640.11
17:19:54.277 -> The value of current in ma : 8755.31,,,,19:54.3,->,current,ma,8755.31
17:19:54.371 -> The value of current in ma : 8640.11,,,,19:54.4,->,current,ma,8640.11
17:19:54.513 -> The value of current in ma : 8640.11,,,,19:54.5,->,current,ma,8640.11
17:19:54.609 -> The value of current in ma : 8663.15,,,,19:54.6,->,current,ma,8663.15
17:19:54.749 -> The value of current in ma : 8686.19,,,,19:54.7,->,current,ma,8686.19
17:19:54.843 -> The value of current in ma : 8686.19,,,,19:54.8,->,current,ma,8686.19
17:19:54.984 -> The value of current in ma : 8686.19,,,,19:55.0,->,current,ma,8686.19
17:19:55.125 -> The value of current in ma : 8686.19,,,,19:55.1,->,current,ma,8686.19
17:19:55.221 -> The value of current in ma : 8640.11,,,,19:55.2,->,current,ma,8640.11
17:19:55.349 -> The value of current in ma : 8663.15,,,,19:55.3,->,current,ma,8663.15
17:19:55.491 -> The value of current in ma : 8663.15,,,,19:55.5,->,current,ma,8663.15
17:19:55.585 -> The value of current in ma : 8709.23,,,,19:55.6,->,current,ma,8709.23
17:19:55.695 -> The value of current in ma : 8617.07,,,,19:55.7,->,current,ma,8617.07
17:19:55.838 -> The value of current in ma : 8617.07,,,,19:55.8,->,current,ma,8617.07
17:19:55.980 -> The value of current in ma : 8640.11,,,,19:56.0,->,current,ma,8640.11
17:19:56.073 -> The value of current in ma : 8594.03,,,,19:56.1,->,current,ma,8594.03
17:19:56.215 -> The value of current in ma : 8686.19,,,,19:56.2,->,current,ma,8686.19
17:19:56.309 -> The value of current in ma : 8617.07,,,,19:56.3,->,current,ma,8617.07
17:19:56.451 -> The value of current in ma : 8709.23,,,,19:56.5,->,current,ma,8709.23
17:19:56.545 -> The value of current in ma : 8640.11,,,,19:56.5,->,current,ma,8640.11
17:19:56.688 -> The value of current in ma : 8617.07,,,,19:56.7,->,current,ma,8617.07
17:19:56.784 -> The value of current in ma : 8686.19,,,,19:56.8,->,current,ma,8686.19
17:19:56.924 -> The value of current in ma : 8640.11,,,,19:56.9,->,current,ma,8640.11
17:19:57.065 -> The value of current in ma : 8640.11,,,,19:57.1,->,current,ma,8640.11
17:19:57.175 -> The value of current in ma : 8686.19,,,,19:57.2,->,current,ma,8686.19
17:19:57.271 -> The value of current in ma : 8640.11,,,,19:57.3,->,current,ma,8640.11
17:19:57.413 -> The value of current in ma : 8617.07,,,,19:57.4,->,current,ma,8617.07
17:19:57.557 -> The value of current in ma : 8640.11,,,,19:57.6,->,current,ma,8640.11
17:19:57.651 -> The value of current in ma : 8617.07,,,,19:57.7,->,current,ma,8617.07
17:19:57.794 -> The value of current in ma : 8663.15,,,,19:57.8,->,current,ma,8663.15
17:19:57.890 -> The value of current in ma : 8640.11,,,,19:57.9,->,current,ma,8640.11
17:19:58.033 -> The value of current in ma : 8594.03,,,,19:58.0,->,current,ma,8594.03
